RANK,UNIV,COUNTRY,LINK
54,École Normale Supérieure,France,https://www.timeshighereducation.com/world-university-rankings/ecole-normale-superieure?ranking-dataset=133819 
55,Nanyang Technological University,Singapore,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university?ranking-dataset=133819 
56,University of Manchester,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-manchester?ranking-dataset=133819 
56,University of Sydney,Australia,https://www.timeshighereducation.com/world-university-rankings/university-of-sydney?ranking-dataset=133819 
58,University of Amsterdam,Netherlands,https://www.timeshighereducation.com/world-university-rankings/university-of-amsterdam?ranking-dataset=133819 
59,Hong Kong University of Science and Technology,Hong Kong,https://www.timeshighereducation.com/world-university-rankings/hong-kong-university-of-science-and-technology?ranking-dataset=133819 
60,The University of Queensland,Australia,https://www.timeshighereducation.com/world-university-rankings/university-of-queensland-australia?ranking-dataset=133819 
60,Washington University in St Louis,United States of America,https://www.timeshighereducation.com/world-university-rankings/washington-university-in-st-louis?ranking-dataset=133819 
62,Utrecht University,Netherlands,https://www.timeshighereducation.com/world-university-rankings/utrecht-university?ranking-dataset=133819 
63,University of North Carolina at Chapel Hill,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-north-carolina-at-chapel-hill?ranking-dataset=133819 
64,Boston University,United States of America,https://www.timeshighereducation.com/world-university-rankings/boston-university?ranking-dataset=133819 
65,Delft University of Technology,Netherlands,https://www.timeshighereducation.com/world-university-rankings/delft-university-of-technology?ranking-dataset=133819 
65,University of Minnesota,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-minnesota?ranking-dataset=133819 
67,Leiden University,Netherlands,https://www.timeshighereducation.com/world-university-rankings/leiden-university?ranking-dataset=133819 
68,University of Southern California,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-southern-california?ranking-dataset=133819 
69,University of Bristol,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-bristol?ranking-dataset=133819 
70,Durham University,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/durham-university?ranking-dataset=133819 
71,Erasmus University Rotterdam,Netherlands,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam?ranking-dataset=133819 
72,Free University of Berlin,Germany,https://www.timeshighereducation.com/world-university-rankings/freie-universitat-berlin?ranking-dataset=133819 
73,Monash University,Australia,https://www.timeshighereducation.com/world-university-rankings/monash-university?ranking-dataset=133819 
74,University of Groningen,Netherlands,https://www.timeshighereducation.com/world-university-rankings/university-of-groningen?ranking-dataset=133819 
75,Pennsylvania State University,United States of America,https://www.timeshighereducation.com/world-university-rankings/pennsylvania-state-university?ranking-dataset=133819 
76,University of Glasgow,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-glasgow?ranking-dataset=133819 
76,University of Helsinki,Finland,https://www.timeshighereducation.com/world-university-rankings/university-of-helsinki?ranking-dataset=133819 
78,University of Tübingen,Germany,https://www.timeshighereducation.com/world-university-rankings/eberhard-karls-universitat-tubingen?ranking-dataset=133819 
79,University of Pittsburgh,United States of America,https://www.timeshighereducation.com/world-university-rankings/university-of-pittsburgh?ranking-dataset=133819 
80,University of Warwick,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-warwick?ranking-dataset=133819 
81,Uppsala University,Sweden,https://www.timeshighereducation.com/world-university-rankings/uppsala-university?ranking-dataset=133819 
82,University of Copenhagen,Denmark,https://www.timeshighereducation.com/world-university-rankings/university-of-copenhagen?ranking-dataset=133819 
82,University of New South Wales,Australia,https://www.timeshighereducation.com/world-university-rankings/university-of-new-south-wales?ranking-dataset=133819 
84,University of Freiburg,Germany,https://www.timeshighereducation.com/world-university-rankings/albert-ludwigs-universitat-freiburg?ranking-dataset=133819 
85,Seoul National University,South Korea,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university?ranking-dataset=133819 
86,University of St Andrews,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-st-andrews?ranking-dataset=133819 
87,Vanderbilt University,United States of America,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university?ranking-dataset=133819 
88,Kyoto University,Japan,https://www.timeshighereducation.com/world-university-rankings/kyoto-university?ranking-dataset=133819 
88,Maastricht University,Netherlands,https://www.timeshighereducation.com/world-university-rankings/maastricht-university?ranking-dataset=133819 
90,Emory University,United States of America,https://www.timeshighereducation.com/world-university-rankings/emory-university?ranking-dataset=133819 
90,Lund University,Sweden,https://www.timeshighereducation.com/world-university-rankings/lund-university?ranking-dataset=133819 
90,Ohio State University,United States of America,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university?ranking-dataset=133819 
93,University of Exeter,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-exeter?ranking-dataset=133819 
94,University of Bonn,Germany,https://www.timeshighereducation.com/world-university-rankings/universitat-bonn?ranking-dataset=133819 
94,Georgetown University,United States of America,https://www.timeshighereducation.com/world-university-rankings/georgetown-university?ranking-dataset=133819 
94,McMaster University,Canada,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university?ranking-dataset=133819 
97,University of Sheffield,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-of-sheffield?ranking-dataset=133819 
98,Queen Mary University of London,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-of-london?ranking-dataset=133819 
99,University of Göttingen,Germany,https://www.timeshighereducation.com/world-university-rankings/georg-august-universitat-gottingen?ranking-dataset=133819 
99,Michigan State University,United States of America,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university?ranking-dataset=133819 
