""
"27,862", "8.7", "18%", "48 : 52", ""
"17,713", "13", "10%", "58 : 42", ""
"20,925", "13.5", "29%", "53 : 47", ""
"23,845", "10.2", "12%", "52 : 48", ""
"20,851", "20.7", "27%", "50 : 50", ""
"9,259", "6.4", "17%", "48 : 52", ""
"17,755", "18.8", "28%", "54 : 46", ""
"28,856", "42", "19%", "54 : 46", ""
"14,543", "15.8", "26%", "55 : 45", ""
"25,295", "16.4", "23%", "54 : 46", ""
"83,236", "29.9", "9%", "50 : 50", ""
"27,139", "18.8", "18%", "", ""
"27,703", "14.7", "21%", "58 : 42", ""
"50,095", "18.7", "9%", "54 : 46", ""
"10,410", "10", "14%", "54 : 46", ""
"9,187", "11.2", "10%", "47 : 53", ""
"15,668", "15", "39%", "61 : 39", ""
"11,512", "14.9", "33%", "52 : 48", ""
"462", "16.5", "5%", "28 : 72", ""
"24,365", "20.3", "9%", "39 : 61", ""
"37,032", "17.3", "8%", "51 : 49", ""
"20,771", "30.1", "26%", "48 : 52", ""
"11,829", "13.8", "10%", "44 : 56", ""
"25,294", "24.6", "16%", "26 : 74", ""
"31,715", "23.7", "8%", "62 : 38", ""
"17,404", "22.7", "1%", "53 : 47", ""
"30,144", "15", "27%", "54 : 46", ""
"20,040", "12.1", "18%", "53 : 47", ""
"12,001", "17.4", "35%", "54 : 46", ""
"62,468", "13.6", "13%", "53 : 47", ""
"11,964", "13.1", "22%", "", ""
"9,390", "4.5", "26%", "49 : 51", ""
"14,290", "7.9", "2%", "", ""
"6,631", "12", "26%", "37 : 63", ""
"32,175", "12.2", "11%", "50 : 50", ""
"36,429", "12.7", "8%", "52 : 48", ""
"23,280", "16.3", "6%", "56 : 44", ""
"18,815", "13.6", "30%", "52 : 48", ""
"12,062", "14.6", "21%", "30 : 70", ""
"36,146", "53.9", "9%", "49 : 51", ""
"39,838", "46.1", "8%", "53 : 47", ""
"34,651", "20.5", "25%", "67 : 33", ""
"48,881", "12.3", "17.6%", "59 : 41", ""
"35,487", "37.4", "12%", "42 : 58", ""
"29,787", "18.9", "28%", "54 : 46", ""
"20,626", "22", "12%", "51 : 49", ""
"14,992", "14.7", "28%", "58 : 42", ""
"56,959", "13", "11%", "49 : 51", ""
"50,657", "21.4", "9%", "47 : 53", ""
"43,280", "43.4", "11%", "60 : 40", ""
"26,420", "16.4", "12%", "", ""
"14,541", "13.4", "35%", "54 : 46", ""
"8,747", "15.9", "37%", "57 : 43", ""
"30,726", "24.2", "14%", "45 : 55", ""
"10,901", "18.3", "13%", "59 : 41", ""
"9,990", "5", "18%", "27 : 73", ""
"8,176", "16", "14%", "19 : 81", ""
"5,144", "15.9", "52%", "50 : 50", ""
"27,603", "15", "17%", "", ""
"11,628", "15.3", "25%", "60 : 40", ""
"23,347", "13.1", "23%", "57 : 43", ""
"15,286", "5.7", "14%", "50 : 50", ""
"18,539", "15.1", "26%", "50 : 50", ""
"23,321", "18.6", "9%", "56 : 44", ""
"17,612", "10.7", "5%", "55 : 45", ""
"26,576", "38.4", "8%", "57 : 43", ""
"12,938", "15.8", "33%", "54 : 46", ""
"30,822", "7.7", "20%", "43 : 57", ""
"24,696", "15.2", "29%", "50 : 50", ""
"769", "8.5", "17%", "35 : 65", ""
"22,064", "25.9", "26%", "51 : 49", ""
"12,050", "14.8", "28%", "55 : 45", ""
"10,930", "59.1", "12%", "54 : 46", ""
"28,341", "16.5", "17%", "53 : 47", ""
"31,891", "11.9", "7%", "39 : 61", ""
"41,960", "46.6", "19%", "49 : 51", ""
"5,495", "12.6", "22%", "55 : 45", ""
"7,576", "22.4", "10%", "49 : 51", ""
"24,313", "9.2", "17%", "53 : 47", ""
"17,422", "15.9", "15%", "48 : 52", ""
"16,099", "24.2", "17%", "32 : 68", ""
"12,346", "30.3", "16%", "56 : 44", ""
"47,491", "12.2", "10%", "62 : 38", ""
"11,623", "11.1", "12%", "60 : 40", ""
"9,454", "17.2", "38%", "55 : 45", ""
"85,532", "22.9", "7%", "56 : 44", ""
"13,216", "17.4", "19%", "54 : 46", ""
"4,294", "11.7", "30%", "23 : 77", ""
"36,108", "15.7", "6%", "54 : 46", ""
"19,262", "15.9", "10%", "56 : 44", ""
"2,218", "8", "14%", "49 : 51", ""
"41,226", "31.8", "7%", "55 : 45", ""
"20,541", "12", "16%", "56 : 44", ""
"31,861", "9.3", "15%", "60 : 40", ""
"16,773", "11.1", "13%", "55 : 45", ""
"13,960", "25.9", "8%", "66 : 34", ""
"3,318", "8.2", "1%", "19 : 81", ""
"27,526", "11.6", "11%", "52 : 48", ""
"24,444", "23.8", "8%", "53 : 47", ""
"35,889", "8.4", "21%", "57 : 43", ""
"24,043", "15.8", "14%", "", ""
"23,819", "26.1", "32%", "54 : 46", ""
"29,743", "13.3", "10%", "46 : 54", ""
"14,067", "26.8", "14%", "56 : 44", ""
"23,508", "21.9", "18%", "56 : 44", ""
"30,533", "13.6", "11%", "44 : 56", ""
"18,600", "20.3", "21%", "57 : 43", ""
"14,056", "8.5", "6%", "49 : 51", ""
"34,691", "26.9", "15%", "63 : 37", ""
"27,756", "14.8", "17%", "63 : 37", ""
"30,025", "22.2", "12%", "34 : 66", ""
"20,488", "22.1", "10%", "58 : 42", ""
"17,940", "17.9", "30%", "54 : 46", ""
"33,391", "35.8", "17%", "54 : 46", ""
"2,473", "15.6", "63%", "55 : 45", ""
"38,191", "12.8", "6%", "37 : 63", ""
"26,640", "28.3", "19%", "55 : 45", ""
"31,424", "21.5", "10%", "", ""
"2,958", "13.4", "17%", "61 : 39", ""
"21,908", "10.9", "24%", "50 : 50", ""
"24,099", "45.4", "20%", "31 : 69", ""
"20,300", "53.6", "18%", "28 : 72", ""
"23,977", "24.4", "4%", "", ""
"24,554", "21.1", "24%", "43 : 57", ""
"17,200", "5", "7%", "25 : 75", ""
"16,841", "43.2", "8%", "51 : 49", ""
"22,193", "24.5", "23%", "", ""
"25,674", "16.9", "9%", "45 : 55", ""
"7,326", "4.6", "5%", "51 : 49", ""
"27,387", "20.7", "16%", "54 : 46", ""
"47,508", "15.9", "5%", "41 : 59", ""
"12,830", "18.8", "30%", "46 : 54", ""
"12,520", "35.5", "8%", "46 : 54", ""
"23,683", "67.8", "8%", "57 : 43", ""
"25,668", "19", "19%", "47 : 53", ""
"8,605", "11.6", "15%", "30 : 70", ""
"5,570", "25.4", "15%", "67 : 33", ""
"5,287", "18.2", "12%", "26 : 74", ""
"18,293", "42.7", "19%", "48 : 52", ""
"15,064", "14.4", "18%", "55 : 45", ""
"32,713", "30.4", "17%", "60 : 40", ""
"10,416", "46.9", "19%", "58 : 42", ""
"30,251", "22", "21%", "", ""
"9,163", "41.2", "13%", "56 : 44", ""
"11,713", "21.9", "11%", "63 : 37", ""
"35,609", "32.6", "10%", "58 : 42", ""
"4,488", "14.6", "8%", "52 : 48", ""
"27,227", "16.2", "12%", "", ""
"27,930", "20", "44%", "55 : 45", ""
"1,283", "5.6", "22%", "28 : 72", ""
"10,221", "13.5", "5%", "33 : 67", ""
"17,381", "13.9", "9%", "46 : 54", ""
"2,838", "1.1", "3%", "65 : 35", ""
"23,144", "7.8", "9%", "31 : 69", ""
"36,733", "26.3", "15%", "60 : 40", ""
"6,671", "15", "16%", "30 : 70", ""
"38,675", "46.3", "13%", "48 : 52", ""
"1,855", "2.1", "5%", "71 : 29", ""
"81,402", "14.6", "4%", "48 : 52", ""
"120,986", "32.3", "7%", "59 : 41", ""
"18,971", "26.2", "32%", "59 : 41", ""
"22,210", "12.7", "16%", "52 : 48", ""
"12,063", "16.6", "38%", "55 : 45", ""
"3,879", "4.6", "", "67 : 33", ""
"19,660", "15.9", "15%", "55 : 45", ""
"10,045", "9.5", "4%", "66 : 34", ""
"40,639", "44.1", "31%", "53 : 47", ""
"24,716", "17", "5%", "", ""
"9,586", "7.3", "13%", "13 : 87", ""
"16,667", "11.9", "7%", "60 : 40", ""
"26,419", "52", "27%", "27 : 73", ""
"30,850", "18.6", "10%", "42 : 58", ""
"7,867", "11.8", "7%", "54 : 46", ""
"32,208", "28.9", "42%", "50 : 50", ""
"24,774", "11.6", "14%", "", ""
"9,252", "19.2", "18%", "48 : 52", ""
"71,749", "45.5", "13%", "61 : 39", ""
"3,837", "8.2", "7%", "53 : 47", ""
"17,576", "26.7", "25%", "60 : 40", ""
"9,567", "19.5", "22%", "55 : 45", ""
"51,239", "19.4", "12%", "58 : 42", ""
"18,590", "25.6", "11%", "50 : 50", ""
"12,613", "17.6", "38%", "46 : 54", ""
"1,277", "7", "78%", "51 : 49", ""
"3,246", "11.9", "23%", "57 : 43", ""
"26,769", "19", "5%", "52 : 48", ""
"25,742", "13", "11%", "51 : 49", ""
"14,650", "26.9", "5%", "63 : 37", ""
"12,695", "19.8", "39%", "55 : 45", ""
"26,622", "17", "7%", "54 : 46", ""
"33,119", "19.9", "7%", "57 : 43", ""
"7,165", "18.1", "37%", "66 : 34", ""
"1,394", "9.6", "8%", "25 : 75", ""
"18,209", "16.9", "39%", "54 : 46", ""
"25,682", "53.9", "9%", "62 : 38", ""
"17,638", "14.4", "27%", "53 : 47", ""
"20,951", "25.9", "23%", "54 : 46", ""
"17,866", "7.7", "10%", "52 : 48", ""
"13,951", "15.9", "22%", "38 : 62", ""
"58,618", "24.3", "5%", "60 : 40", ""
"5,395", "7", "12%", "", ""
"15,529", "7.9", "10%", "29 : 71", ""
"11,259", "10.6", "16%", "52 : 48", ""
"21,789", "16.4", "9%", "46 : 54", ""
"24,418", "20.2", "11%", "52 : 48", ""
"22,578", "16.8", "9%", "47 : 53", ""
"62,577", "18.3", "4%", "56 : 44", ""
"22,958", "40.6", "6%", "56 : 44", ""
"1,819", "10.9", "18%", "77 : 23", ""
"2,739", "15.9", "6%", "39 : 61", ""
"11,919", "5.8", "8%", "58 : 42", ""
"7,828", "15.9", "22%", "61 : 39", ""
"46,208", "17.8", "21%", "58 : 42", ""
"12,801", "17.1", "20%", "49 : 51", ""
"10,269", "13", "3%", "66 : 34", ""
"18,340", "23.8", "21%", "57 : 43", ""
"29,143", "88.9", "10%", "47 : 53", ""
"13,855", "19.4", "4%", "35 : 65", ""
"33,268", "13.3", "5%", "51 : 49", ""
"12,326", "14.6", "5%", "61 : 39", ""
"17,581", "21.5", "11%", "56 : 44", ""
"9,020", "17.1", "16%", "55 : 45", ""
"48,007", "39.4", "9%", "59 : 41", ""
"8,834", "17.8", "31%", "48 : 52", ""
"28,296", "13", "15%", "56 : 44", ""
"9,370", "13.6", "3%", "46 : 54", ""
"15,799", "23.3", "14%", "48 : 52", ""
"12,187", "16.5", "20%", "51 : 49", ""
"13,053", "17.8", "50%", "55 : 45", ""
"35,308", "16.1", "11%", "50 : 50", ""
"15,805", "22.3", "15%", "55 : 45", ""
"6,880", "22.9", "8%", "69 : 31", ""
"20,713", "10.8", "18%", "48 : 52", ""
"10,798", "17.3", "6%", "64 : 36", ""
"1,560", "10.1", "49%", "31 : 69", ""
"15,655", "22.6", "15%", "63 : 37", ""
"7,542", "12.5", "16%", "22 : 78", ""
"21,643", "28.3", "4%", "60 : 40", ""
"16,729", "10.4", "19%", "", ""
"10,441", "11", "25%", "61 : 39", ""
"40,325", "43.7", "9%", "50 : 50", ""
"8,327", "14.9", "1%", "16 : 84", ""
"29,991", "17.4", "11%", "44 : 56", ""
"10,631", "10", "9%", "36 : 64", ""
"14,184", "54.4", "14%", "36 : 64", ""
"24,356", "17.4", "14%", "", ""
"18,925", "6.7", "8%", "28 : 72", ""
"22,037", "29", "27%", "63 : 37", ""
"22,401", "62.7", "12%", "41 : 59", ""
"8,521", "14.9", "31%", "58 : 42", ""
"33,370", "72.5", "5%", "60 : 40", ""
"29,885", "14.1", "5%", "53 : 47", ""
"36,731", "18.4", "14%", "51 : 49", ""
"7,653", "28", "11%", "55 : 45", ""
"8,788", "15.8", "2%", "61 : 39", ""
"21,580", "27.4", "21%", "69 : 31", ""
"24,121", "25.9", "13%", "52 : 48", ""
"27,709", "19.6", "16%", "29 : 71", ""
"20,314", "36.5", "33%", "44 : 56", ""
"27,520", "26.9", "6%", "48 : 52", ""
"18,135", "25.8", "9%", "56 : 44", ""
"11,381", "8.4", "8%", "56 : 44", ""
"67,552", "66", "6%", "62 : 38", ""
"17,142", "21.1", "21%", "55 : 45", ""
"24,550", "18.3", "7%", "50 : 50", ""
"23,065", "10.7", "7%", "57 : 43", ""
"11,604", "12", "12%", "60 : 40", ""
"46,288", "22.2", "9%", "52 : 48", ""
"6,220", "28.5", "2%", "", ""
"10,791", "17.8", "10%", "51 : 49", ""
"51,560", "65.1", "2%", "65 : 35", ""
"17,503", "16", "5%", "59 : 41", ""
"11,506", "25", "7%", "50 : 50", ""
