RANK,UNIV,COUNTRY,Students,SSRatio,IntlStudent,FMRatio,LINK
42,Peking University,China,40148,8.3,14%,53:47,https://www.timeshighereducation.com/world-university-rankings/peking-university?ranking-dataset=133819 
43,University of Tokyo,Japan,26199,5.7,10%,,https://www.timeshighereducation.com/world-university-rankings/university-of-tokyo?ranking-dataset=133819 
44,"University of California, Davis",United States of America,35364,13.9,13%,54 : 46,https://www.timeshighereducation.com/world-university-rankings/university-of-california-davis?ranking-dataset=133819 
44,University of Hong Kong,Hong Kong,19835,17.6,38%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/university-of-hong-kong?ranking-dataset=133819 
46,University of Texas at Austin,United States of America,49427,17.4,9%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/university-of-texas-at-austin?ranking-dataset=133819 
47,Tsinghua University,China,39763,13.7,10%,32 : 68,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university?ranking-dataset=133819 
47,Wageningen University & Research,Netherlands,9248,17,21%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/wageningen-university-and-research-center?ranking-dataset=133819 
49,Humboldt University of Berlin,Germany,29987,52.5,16%,,https://www.timeshighereducation.com/world-university-rankings/humboldt-universitat-zu-berlin?ranking-dataset=133819 
50,University of Wisconsin-Madison,United States of America,39655,10.8,11%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/university-of-wisconsin-madison?ranking-dataset=133819 
51,Brown University,United States of America,8653,10.1,19%,,https://www.timeshighereducation.com/world-university-rankings/brown-university?ranking-dataset=133819 
52,Australian National University,Australia,14604,19.2,35%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/australian-national-university?ranking-dataset=133819 
53,Technical University of Munich,Germany,35565,31.5,20%,33 : 67,https://www.timeshighereducation.com/world-university-rankings/technische-universitat-munchen?ranking-dataset=133819 
54,École Normale Supérieure,France,2400,7.9,20%,46 : 54,https://www.timeshighereducation.com/world-university-rankings/ecole-normale-superieure?ranking-dataset=133819 
55,Nanyang Technological University,Singapore,25028,16.2,33%,48 : 52,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university?ranking-dataset=133819 
56,University of Manchester,United Kingdom,34938,15.3,34%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/university-of-manchester?ranking-dataset=133819 
56,University of Sydney,Australia,60711,20,28%,57 : 43,https://www.timeshighereducation.com/world-university-rankings/university-of-sydney?ranking-dataset=133819 
58,University of Amsterdam,Netherlands,24570,14.4,11%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/university-of-amsterdam?ranking-dataset=133819 
59,Hong Kong University of Science and Technology,Hong Kong,11385,23.8,36%,,https://www.timeshighereducation.com/world-university-rankings/hong-kong-university-of-science-and-technology?ranking-dataset=133819 
60,The University of Queensland,Australia,34718,32.7,27%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/university-of-queensland-australia?ranking-dataset=133819 
60,Washington University in St Louis,United States of America,12528,5.7,17%,,https://www.timeshighereducation.com/world-university-rankings/washington-university-in-st-louis?ranking-dataset=133819 
62,Utrecht University,Netherlands,30779,15.4,7%,59 : 41,https://www.timeshighereducation.com/world-university-rankings/utrecht-university?ranking-dataset=133819 
63,University of North Carolina at Chapel Hill,United States of America,26518,7.3,8%,58 : 42,https://www.timeshighereducation.com/world-university-rankings/university-of-north-carolina-at-chapel-hill?ranking-dataset=133819 
64,Boston University,United States of America,24789,8.6,17%,58 : 42,https://www.timeshighereducation.com/world-university-rankings/boston-university?ranking-dataset=133819 
